Accident Date/Time,Operator Name,Pipeline/Facility Name,Pipeline Location,Pipeline Type,Liquid Type,Liquid Subtype,Liquid Name,Accident City,Accident County,Accident State,Accident Latitude,Accident Longitude,Cause Category,Cause Subcategory,Unintentional Release (Barrels),Intentional Release (Barrels),Liquid Recovery (Barrels),Net Loss (Barrels),Liquid Ignition,Liquid Explosion,Pipeline Shutdown,Shutdown Date/Time,Restart Date/Time,Public Evacuations
2010-01-01 07:15:00,ONEOK NGL PIPELINE LP,KINDER MORGAN JCT,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),,MCPHERSON,MCPHERSON,KS,38.6707,-97.78123,INCORRECT OPERATION,PIPELINE/EQUIPMENT OVERPRESSURED,21.0,0.1,0.0,21.0,NO,NO,NO,,,
2010-01-04 08:30:00,PORTLAND PIPELINE CORP,24-INCH MAIN LINE,ONSHORE,ABOVEGROUND,CRUDE OIL,,,RAYMOND,CUMBERLAND,ME,43.94028,-70.49336,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.12,0.0,0.12,0.0,NO,NO,,,,
2010-01-05 10:30:00,"PETROLOGISTICS OLEFINS, LLC",,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",OTHER HVL,ETHANE,SULPHER,CALCASIEU,LA,30.1824,-93.3524,MATERIAL/WELD/EQUIP FAILURE,DEFECTIVE OR LOOSE TUBING/FITTING,2.0,0.0,0.0,2.0,NO,NO,,,,
2010-01-06 19:30:00,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",SUPERIOR TERMINAL,ONSHORE,UNDERGROUND,CRUDE OIL,,,SUPERIOR,DOUGLAS,WI,46.6893,-92.0612,NATURAL FORCE DAMAGE,TEMPERATURE,0.48,0.0,0.48,0.0,NO,NO,,,,
2010-01-07 13:00:00,"PLAINS PIPELINE, L.P.",RED RIVER EAST,ONSHORE,UNDERGROUND,CRUDE OIL,,,SHERMAN,GRAYSON,TX,33.58266,-96.64881,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,700.0,,698.0,2.0,NO,NO,NO,,,
2010-01-08 23:38:00,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",,ONSHORE,UNDERGROUND,CRUDE OIL,,,NECHE,PEMBINA,ND,48.99555,-97.52554,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,3784.0,0.0,1547.0,2237.0,NO,NO,YES,2010-01-08 23:41:00,2010-01-13 09:17:00,0.0
2010-01-09 00:15:00,"KINDER MORGAN LIQUID TERMINALS, LLC",,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),,GALENA PARK,HARRIS,TX,29.4305,-95.1201,MATERIAL/WELD/EQUIP FAILURE,ENVIRONMENTAL CRACKING-RELATED,35.0,0.0,30.0,5.0,NO,NO,NO,,,
2010-01-09 01:12:00,MOBIL CORP,HULL STATION,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),,HULL,LIBERTY,TX,30.08533,-94.3805,NATURAL FORCE DAMAGE,TEMPERATURE,0.24,0.0,0.0,0.24,NO,NO,,,,
2010-01-10 19:46:00,"KINDER MORGAN LIQUID TERMINALS, LLC",,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,,,TX,29.4305,-95.1201,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0.4,0.0,0.4,0.0,NO,NO,,,,
2010-01-11 14:30:00,CONOCOPHILLIPS,TANK 1501,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),,PASADENA,HARRIS,TX,29.71478,-95.17611,ALL OTHER CAUSES,MISCELLANEOUS,0.48,0.0,0.48,0.0,NO,NO,NO,,,
2010-01-11 14:30:00,TARGA RESOURCES OPERATING LP,N-4 LINE (NORMAL BUTANE),ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",OTHER HVL,NORMAL BUTANE,LAKE CHARLES,CALCASIEU,LA,30.25989,-93.20991,NATURAL FORCE DAMAGE,TEMPERATURE,2237.0,25.0,0.0,2237.0,NO,NO,YES,2010-01-11 14:45:00,2010-01-15 15:00:00,0.0
2010-01-11 14:47:00,"NUSTAR LOGISTICS, L.P.","46P HOUSTON 12"" REFINDED PRODUCTS PL",ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,TAFT,SAN PATRICO,TX,28.05529,-97.32797,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",3.0,0.0,3.0,0.0,NO,NO,YES,2010-01-11 14:55:00,2010-01-11 22:08:00,0.0
2010-01-11 15:00:00,JAYHAWK PIPELINE LLC,CHASE KAW TERMINAL,ONSHORE,UNDERGROUND,CRUDE OIL,,,CHASE,RICE,KS,38.34519,-98.31356,CORROSION,INTERNAL,2.0,,1.0,1.0,NO,NO,YES,2010-01-11 15:10:00,2010-01-13 14:00:00,
2010-01-11 23:00:00,CONOCOPHILLIPS,TANK 824,ONSHORE,TANK,CRUDE OIL,,,CUSHING,PAYNE,OK,35.94466,-96.75427,NATURAL FORCE DAMAGE,TEMPERATURE,53.0,0.0,51.0,2.0,NO,NO,NO,,,
2010-01-12 10:25:00,"PLAINS MARKETING, L.P.",CUSHING TERMINAL,ONSHORE,ABOVEGROUND,CRUDE OIL,,,CUSHING,LINCOLN,OK,35.93749,-96.74417,CORROSION,INTERNAL,21.0,0.0,21.0,0.0,NO,NO,YES,2010-01-12 10:25:00,2010-01-14 10:25:00,0.0
2010-01-12 14:30:00,"CCPS TRANSPORTATION, LLC","CCPS TRANSPORTATION, RUSH STATION",ONSHORE,ABOVEGROUND,CRUDE OIL,,,RUSHVILLE,SCHUYLER,IL,40.16833,-90.56593,INCORRECT OPERATION,INCORRECT INSTALLATION,0.19,0.0,0.19,0.0,NO,NO,NO,,,
2010-01-12 19:08:00,"MAGELLAN AMMONIA PIPELINE, L.P.","MAGELLAN AMMONIA PIPELINE, LP",ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",ANHYDROUS AMMONIA,,PAWNEE,PAWNEE,OK,36.39836,-96.74622,MATERIAL/WELD/EQUIP FAILURE,ENVIRONMENTAL CRACKING-RELATED,445.0,5.0,0.0,445.0,NO,NO,YES,2010-01-12 19:08:00,2010-01-20 14:34:00,19.0
